Name,Year,FIP,pit_IP
郭俊麟,2024,3.734,20.0
郭俊麟,2025,6.273,10.0
陳韻文,2024,3.427,39.0
陳韻文,2025,3.48,46.0
劉予承,2024,4.59,28.0
劉予承,2025,6.045,19.0
邱浩鈞,2024,3.473,48.0
邱浩鈞,2025,3.957,9.0
王鏡銘,2024,4.897,20.0
王鏡銘,2025,2.615,40.0
胡智爲,2024,3.988,8.0
胡智爲,2025,3.916,34.0
辛俊昇,2024,3.247,33.0
辛俊昇,2025,3.453,25.0
吳承諭,2024,3.847,20.0
吳承諭,2025,3.597,32.0
蒙德茲,2025,3.437,22.0
髙塩將樹,2024,3.201,20.0
髙塩將樹,2025,2.388,51.0
飛力獅,2025,2.809,21.0
鍾允華,2025,3.637,25.0
獅帝芬,2025,2.381,4.0
李軍,2025,4.432,24.0
艾速特,2024,2.658,20.0
艾速特,2025,2.856,25.0
韋宏亮,2025,5.024,14.0
櫻井周斗,2025,5.043,4.0
江承諺,2024,3.915,20.0
江承諺,2025,3.67,21.0
艾速特,2024,2.658,20.0
艾速特,2025,2.856,25.0
王躍霖,2024,3.247,32.0
王躍霖,2025,3.303,16.0
許育銘,2024,4.424,29.0
許育銘,2025,3.416,47.0
黃紹睿,2024,2.58,3.0
黃紹睿,2025,3.66,23.0
韋宏亮,2025,5.024,14.0
張誠恩,2025,4.072,41.0
黃群,2024,4.11,52.0
黃群,2025,3.677,25.0
陳柏清,2024,4.394,19.0
陳柏清,2025,3.971,42.0
林詩翔,2024,4.247,30.0
林詩翔,2025,3.014,60.0
郭俞延,2024,4.539,5.0
張誠恩,2025,4.072,41.0
李博登,2025,2.673,14.0
伍立辰,2025,4.3,23.0
韋禮加,2025,2.221,3.0
德保拉,2024,3.113,20.0
德保拉,2025,2.386,9.0
呂彥青,2024,3.173,54.0
呂彥青,2025,3.379,42.0
吳俊偉,2024,3.247,57.0
吳俊偉,2025,3.44,22.0
蔡齊哲,2024,4.394,45.0
蔡齊哲,2025,3.842,54.0
李振昌,2024,3.482,42.0
李振昌,2025,4.022,41.0
鄭凱文,2024,3.354,9.0
鄭凱文,2025,4.451,22.0
魏碩成,2024,4.447,24.0
魏碩成,2025,3.577,11.0
林暉盛,2024,7.129,4.0
林暉盛,2025,3.588,4.0
江忠城,2025,3.228,20.0
羅戈,2024,2.669,26.0
羅戈,2025,2.159,25.0
鄭浩均,2025,2.997,11.0
李博登,2025,2.673,14.0
盧孟揚,2024,4.79,5.0
盧孟揚,2025,6.127,9.0
伍立辰,2025,4.3,23.0
威能帝,2024,2.983,25.0
威能帝,2025,2.08,26.0
魔神樂,2024,3.354,24.0
魔神樂,2025,2.934,25.0
黃子鵬,2024,3.667,18.0
黃子鵬,2025,3.517,25.0
陳冠宇,2024,2.691,54.0
陳冠宇,2025,2.679,55.0
陳柏豪,2024,4.272,52.0
陳柏豪,2025,4.629,45.0
蘇俊璋,2024,3.554,47.0
蘇俊璋,2025,4.268,43.0
莊昕諺,2024,3.833,50.0
莊昕諺,2025,4.583,46.0
王志煊,2024,3.838,58.0
王志煊,2025,4.389,41.0
賴胤豪,2024,5.497,4.0
賴胤豪,2025,3.675,42.0
朱承洋,2025,1.468,51.0
邱駿威,2024,5.497,11.0
邱駿威,2025,4.968,27.0
林子崴,2025,3.091,8.0
陳克羿,2024,4.693,11.0
陳克羿,2025,3.293,9.0
徐若熙,2024,2.286,20.0
徐若熙,2025,2.05,19.0
鋼龍,2024,4.2,21.0
鋼龍,2025,2.874,24.0
陳冠偉,2024,1.943,58.0
陳冠偉,2025,3.698,49.0
林凱威,2024,3.98,47.0
林凱威,2025,3.664,35.0
林子昱,2024,3.607,17.0
林子昱,2025,3.857,53.0
郭郁政,2024,4.048,17.0
郭郁政,2025,4.143,29.0
陳禹勳,2024,4.76,41.0
陳禹勳,2025,4.218,38.0
曹祐齊,2024,3.037,6.0
曹祐齊,2025,3.88,14.0
張景淯,2024,7.747,18.0
張景淯,2025,5.997,5.0
呂偉晟,2024,5.047,3.0
呂偉晟,2025,5.087,27.0
李致霖,2025,1.497,2.0
趙璟榮,2024,8.647,5.0
趙璟榮,2025,4.016,19.0
陳志杰,2025,1.997,2.0
張鈞守,2025,3.134,8.0
黃暐傑,2025,3.997,8.0
林鋅杰,2024,6.247,1.0
林鋅杰,2025,3.185,12.0
朱承洋,2025,1.468,51.0
凱樂,2025,3.063,3.0
李致霖,2025,1.497,2.0
陳志杰,2025,1.997,2.0
張鈞守,2025,3.134,8.0
黃暐傑,2025,3.997,8.0
林鋅杰,2024,6.247,1.0
林鋅杰,2025,3.185,12.0
魔力藍,2025,3.019,23.0
力亞士,2025,3.067,24.0
林栚呈,2024,4.247,1.0
林栚呈,2025,2.997,45.0
曾峻岳,2024,1.81,47.0
曾峻岳,2025,2.97,34.0
王尉永,2024,3.418,40.0
王尉永,2025,2.81,12.0
江國豪,2024,4.367,30.0
江國豪,2025,4.497,10.0
黃保羅,2024,4.164,16.0
黃保羅,2025,4.242,18.0
廖任磊,2024,8.175,5.0
廖任磊,2025,4.82,28.0
范柏絜,2024,8.747,1.0
范柏絜,2025,7.647,6.0
李吳永勤,2024,5.156,4.0
李吳永勤,2025,2.808,56.0
游霆崴,2024,5.921,3.0
游霆崴,2025,3.768,19.0
陳禹勳,2023,4.314953271028037,32.1
陳禹勳,2024,4.622309711286089,38.1
游霆崴,2023,3.1,6.1
游霆崴,2024,5.815231788079471,15.1
李吳永勤,2023,4.830769230769231,5.2
李吳永勤,2024,5.2875,3.2
蔡齊哲,2023,3.2333333333333334,45.0
蔡齊哲,2024,4.252993348115299,45.1
陳柏豪,2023,6.300000000000001,5.0
陳柏豪,2024,4.13448275862069,52.2
陳冠宇,2023,3.68974358974359,39.0
陳冠宇,2024,2.541117764471058,50.1
邱浩鈞,2023,3.7575963718820864,44.1
邱浩鈞,2024,3.3267573696145125,44.1
江忠城,2023,5.211111111111111,18.0
郭俊麟,2023,4.563768115942029,69.0
郭俊麟,2024,3.586842105263158,76.0
王躍霖,2023,3.3947845804988663,44.1
王躍霖,2024,3.1,25.1
胡智爲,2023,4.467419738406659,84.1
胡智爲,2024,3.840740740740741,27.0
林子昱,2023,3.31875,64.0
林子昱,2024,3.4625377643504534,33.1
黃子鵬,2023,4.278497587870435,145.1
黃子鵬,2024,3.52,100.0
廖任磊,2023,5.146783625730994,17.1
廖任磊,2024,8.576190476190476,4.2
鄭浩均,2023,3.5747774480712167,101.1
王尉永,2023,4.129411764705882,34.0
王尉永,2024,3.271428571428572,35.0
江承諺,2023,7.1350877192982445,17.1
江承諺,2024,3.7689834926151176,115.1
陳韻文,2023,2.465558912386707,33.1
陳韻文,2024,3.2812688821752265,33.1
林子崴,2023,4.557800511508951,39.1
賴鴻誠,2023,3.1,30.1
賴鴻誠,2024,4.439031339031339,35.1
李振昌,2023,5.85,8.0
李振昌,2024,3.336220472440945,38.1
鄭凱文,2023,3.7,95.0
鄭凱文,2024,3.2078167115902967,37.1
王鏡銘,2023,6.6,24.0
王鏡銘,2024,4.75,20.0
呂彥青,2023,3.23745704467354,58.2
呂彥青,2024,3.025925925925926,54.0
陳克羿,2023,4.35,84.0
陳克羿,2024,4.551905626134301,55.1
吳俊偉,2023,2.208761329305136,66.2
吳俊偉,2024,3.1,58.0
范柏絜,2023,1.35,4.0
羅戈,2024,2.522077922077922,154.0
江國豪,2023,4.503762662807525,69.1
江國豪,2024,4.219565217391304,92.0
吳承諭,2024,3.7,20.0
莊昕諺,2023,4.9,10.0
莊昕諺,2024,3.689569160997733,44.1
郭郁政,2023,3.7057007125890737,84.2
郭郁政,2024,3.908270676691729,53.2
徐若熙,2023,1.3119205298013246,15.1
徐若熙,2024,2.1339702760084927,94.2
呂偉晟,2023,8.766666666666667,3.0
陳冠偉,2023,3.190909090909091,55.0
